iter	Passed	Remaining
0	113	9041	73	292552	104	27841
3	140	27967
4	163	25961
5	191	25283
6	204	23174
7	314	31172
8	324	28555
9	339	26849
10	359	25760
11	364	23942
12	415	25149
13	437	24563
14	444	23276
15	578	28329
16	583	26892
17	591	25683
18	596	24531
19	602	23478
20	606	22492
21	610	21599
22	705	23822
23	723	23395
24	731	22691
25	772	22988
26	777	22252
27	827	22820
28	841	22366
29	873	22426
30	903	22421
31	1055	25336
32	1064	24733
33	1077	24267
34	1145	25043
35	1191	25294
36	1199	24742
37	1224	24545
38	1236	24121
39	1259	23921
40	1273	23583
41	1279	23085
42	1322	23282
43	1332	22889
44	1369	22983
45	1424	23341
46	1442	23104
47	1460	22874
48	1489	22834
49	1525	22881
50	1558	22893
51	1566	22528
52	1574	22189
53	1634	22583
54	1640	22221
55	1698	22567
56	1708	22276
57	1761	22531
58	1770	22238
59	1815	22389
60	1831	22191
61	1841	21915
62	1891	22132
63	1934	22246
64	1940	21940
65	1947	21663
66	1956	21403
67	1976	21275
68	1988	21064
69	1999	20848
70	2073	21294
71	2125	21491
72	2129	21210
73	2168	21278
74	2175	21025
75	2185	20817
76	2191	20575
77	2237	20713
78	2244	20487
79	2300	20701
80	2309	20502
81	2315	20272
82	2377	20540
83	2383	20312
84	2389	20096
85	2438	20245
86	2445	20041
87	2463	19928
88	2468	19721
89	2474	19520
90	2546	19839
91	2565	19739
92	2586	19660
93	2599	19525
94	2650	19668
95	2686	19702
96	2703	19593
97	2716	19462
98	2761	19553
99	2798	19587
100	2804	19407
101	2809	19227
102	2815	19053
103	2821	18881
104	2852	18880
105	2859	18721
106	2921	18919
107	2931	18781
108	2998	19006
109	3002	18836
110	3053	18956
111	3060	18798
112	3071	18674
113	3075	18505
114	3095	18439
115	3100	18281
116	3134	18299
117	3175	18353
118	3180	18201
119	3193	18094
120	3203	17978
121	3248	18052
122	3305	18192
123	3317	18088
124	3334	18005
125	3351	17927
126	3399	18017
127	3408	17892
128	3427	17828
129	3436	17709
130	3478	17761
131	3483	17626
132	3488	17495
133	3545	17622
134	3557	17521
135	3594	17550
136	3615	17497
137	3621	17375
138	3632	17273
139	3696	17425
140	3702	17303
141	3770	17473
142	3793	17427
143	3800	17311
144	3806	17197
145	3862	17301
146	3865	17173
147	3869	17046
148	3912	17094
149	3919	16982
150	3941	16939
151	3957	16873
152	3966	16772
153	4045	16970
154	4060	16898
155	4081	16850
156	4087	16740
157	4094	16636
158	4099	16528
159	4106	16424
160	4167	16540
161	4231	16665
162	4238	16564
163	4273	16573
164	4289	16509
165	4298	16416
166	4303	16310
167	4308	16206
168	4406	16454
169	4420	16383
170	4445	16353
171	4457	16276
172	4464	16182
173	4506	16214
174	4511	16113
175	4527	16052
176	4537	15972
177	4551	15904
178	4564	15836
179	4578	15771
180	4594	15711
181	4614	15670
182	4626	15598
183	4643	15544
184	4658	15485
185	4665	15401
186	4698	15400
187	4705	15316
188	4711	15232
189	4765	15298
190	4775	15225
191	4791	15173
192	4817	15152
193	4830	15088
194	4844	15028
195	4857	14968
196	4864	14889
197	4869	148198198	4908	14824
199	4914	14743
200	4943	14732
201	4954	14666
202	5001	14710
203	5031	14699
204	5043	14637
205	5054	14574
206	5066	14514
207	5075	14446
208	5089	14392
209	5113	14367
210	5145	14363
211	5150	14285
212	5156	14211
213	5172	14163
214	5215	14189
215	5226	14130
216	5243	14086
217	5270	14069
218	5278	14003
219	5296	139220220	5357	14036
221	5381	14012
222	5400	13974
223	5410	13912
224	5418	13847
225	5425	13781
226	5442	13737
227	5466	13715
228	5488	13686
229	5501	13633
230	5522	13602
231	5531	13541
232	5544	13492
233	5560	13450
234	5578	13413
235	5591	13363
236	5599	13302
237	5612	13253
238	5626	13207
239	5636	13151
240	5656	13120
241	5677	13091
242	5702	13071
243	5714	13022
244	5719	129245245	5778	13014
246	5789	12961
247	5818	12951
248	5826	128249249	5862	12898
250	5871	12842
251	5898	12825
252	5911	12780
253	5918	12721
254	5971	12762
255	5984	12717
256	5993	12663
257	6026	12661
258	6035	12607
259	6041	12548
260	6072	12539
261	6101	12529
262	6108	12471
263	6119	12423
264	6148	12412
265	6162	12371
266	6171	12319
267	6206	12320
268	6250	12337
269	6269	12306
270	6277	12254
271	6303	12235
272	6309	12179
273	6335	12162
274	6358	12138
275	6375	12104
276	6395	12075
277	6404	12025
278	6419	11987
279	6427	11936
280	6454	11920
281	6466	11877
282	6486	11849
283	6493	11798
284	6522	11785
285	6528	11732
286	6538	11686
287	6579	11696
288	6589	11651
289	6604	11615
290	6609	11561
291	6635	11543
292	6647	11502
293	6653	11451
294	6682	11439
295	6690	11392
296	6728	11395
297	6750	11371
298	6775	11353
299	6800	11333
300	6806	11283
301	6825	11255
302	6861	11254
303	6881	11226
304	6889	11180
305	6909	11153
306	6917	11108
307	6925	11062
308	6934	11019
309	6943	10974
310	6949	10927
311	6954	10877
312	6960	10830
313	6969	10786
314	6983	10752
315	6994	10712
316	7000	10665
317	7031	10657
318	7040	10616
319	7072	10608
320	7079	105321	7131	10586
322322	7152	10562
323	7170	105324324	7177	104325325	7207	104326326	7238	10469
327	7248	10430
328	7271	10410
329	7281	10371
330	7300	10344
331	7328	10330
332	7342	10296
333	7375	10290
334	7382	10247
335	7398	10216
336	7406	10175
337	7441	10171
338	7445	10125
339	7466	10102
340	7497	10092
341	7511	10058
342	7517	10016
343	7524	9974
344	7553	9962
345	7587	9955
346	7593	9912
347	7619	9896
348	7630	9860
349	7640	9824
350	7661	9800
351	7679	9774
352	7694	9743
353	7729	9738
354	7747	9711
355	7753	9670
356	7768	9639
357	7793	9622
358	7804	9586
359	7822	9560
360	7844	9539
361	7860	9510
362	7877	9483
363	7885	9445
364	7924	9444
365	7929	9402
366	7953	9383
367	7967	9352
368	7979	9320
369	7987	9282
370	8002	9253
371	8009	9214
372	8021	9183
373	8032	9149
374	8066	9141
375	8097	9131
376	8121	9112
377	8132	9079
378	8144	9047
379	8150	9380	380	8175	8381	8212	8986
382	8237	8969
383	383	8225	8384	8273	8918
385	8289	8891
386	386	8275	8387	387	8285	8798
388	8313	8784
389	8335	8762
390	8347	8391	391	8371	8392	392	8378	8393	393	8404	8394	394	8410	8395	395	8430	8396	8476	8605
397	8509	8594
398	8523	8565
399	8531	8531
400	8545	8502
401	8551	8466
402	8600	8472
403	8635	8464
404	8652	8438
405	8658	8402
406	8674	8376
407	8680	8339
408	8687	8305
409	8695	8271
410	8703	8237
411	8709	8202
412	8716	8167
413	8732	8142
414	8746	8114
415	8752	8079
416	8766	8051
417	8788	8031
418	8844	8042
419	8850	8007
420	8896	8008
421	8908	7979
422	8919	7949
423	8936	7924
424	8944	7892
425	8954	7861
426	8975	7840
427	8985	7809
428	9019	7799
429	9116	7844
430	9152	7835
431	9159	7802
432	9165	7768
433	9169	7733
434	9175	7699
435	9184	7667
436	9205	7646
437	9232	7630
438	9255	7610
439	9266	7581
440	9276	7551
441	9301	7533
442	9322	7512
443	9327	7479
444	9343	7453
445	9350	7421
446	9393	7417
447	9399	7385
448	9406	7353
449	9413	7321
450	9419	7288
451	9435	7264
452	9448	7237
453	9456	7206
454	9465	7177
455	9470	7144
456	9485	7119
457	9496	7091
458	9513	7067
459	9519	7036
460	9591	7052
461	9596	7020
462	9599	6987
463	9652	6989
464	9658	6958
465	9669	6930
466	9684	6905
467	9716	6892
468	9730	6867
469	9750	6845
470	9773	6826
471	9779	6795
472	9801	6776
473	9824	6757
474	9861	6747
475	9896	6736
476	9902	6705
477	9907	6674
478	9915	6644
479	9936	6624
480	9958	6604
481	9962	6573
482	9986	6554
483	10010	6535
484	10024	6510
485	10047	6491
486	10061	6466
487	10066	6436
488	10087	6415
489	10116	6400
490	10129	6374
491	10152	6355
492	10160	6326
493	10177	6304
494	10204	6287
495	10240	6276
496	10256	6253
497	10270	6228
498	10276	6198
499	10281	6168
500	10310	6153
501	10320	6126
502	10331	6100
503	10346	6076
504	10374	6060
505	10381	6032
506	10397	6008
507	10416	5987
508	10433	5965
509	10470	5953
510	10479	5926
511	10514	5914
512	10526	5888
513	10537	5863
514	10544	5835
515	10551	5807
516	10556	5778
517	10643	5794
518	10651	5766
519	10657	5738
520	10672	5714
521	10682	5689
522	10691	5662
523	10697	5634
524	10740	5626
525	10768	5609
526	10773	5581
527	10777	5552
528	10790	5528
529	10799	5501
530	10808	5475
531	10814	5447
532	10821	5420
533	10829	5394
534	10837	5367
535	10842	5340
536	10854	5316
537	10861	5289
538	10882	5269
539	10889	5243
540	10944	5239
541	10949	5212
542	11027	5219
543	11037	5194
544	11076	5182
545	11082	5155
546	11087	5128
547	11093	5101
548	11099	5074
549	11148	5067
550	11160	5043
551	11170	5018
552	11202	5003
553	11238	4990
554	11245	4964
555	11256	4939
556	11265	4914
557	11270	4887
558	11277	4862
559	11283	4835
560	11290	4809
561	11295	4783
562	11300	4757
563	11308	4731
564	11315	4706
565	11327	4683
566	11333	4657
567	11347	4634
568	11363	4613
569	11373	4589
570	11386	4566
571	11404	4545
572	11431	4528
573	11455	4510
574	11475	4490
575	11491	4468
576	11503	4445
577	11518	4423
578	11553	4409
579	11560	4385
580	11564	4359
581	11569	4333
582	11739	4369
583	11742	4343
584	11763	4323
585	11769	4297
586	11810	4285
587	11817	4260
588	11893	4260
589	11900	4235
590	11905	4210
591	11912	4185
592	11934	4165
593	11950	4144
594	11976	4126
595	11985	4102
596	12018	4086
597	12025	4062
598	12032	4037
599	12064	4021
600	12093	4004
601	12104	3981
602	12132	3963
603	12138	3938
604	12144	3914
605	12193	3903
606	12208	3881
607	12252	3869
608	12258	3844
609	12264	3820
610	12270	3795
611	12276	3771
612	12284	3747
613	12291	3723
614	12297	3699
615	12302	3674
616	12316	3652
617	12333	3632
618	12349	3611
619	12384	3595
620	12403	3575
621	12433	3558
622	12440	3534
623	12446	3510
624	12490	3497
625	12498	3474
626	12528	3456
627	12573	3443
628	12599	3425
629	12614	3403
630	12627	3382
631	12632	3357
632	12638	3334
633	12644	3310
634	12649	3286
635	12655	3263
636	12662	3240
637	12679	3219
638	12693	3198
639	12711	3177
640	12731	3157
641	12737	3134
642	12744	3111
643	12750	3088
644	12758	3065
645	12764	3043
646	12772	3020
647	12780	2997
648	12785	2974
649	12791	2951
650	12797	2929
651	12803	2906
652	12818	2885
653	12825	2863
654	12832	2840
655	12839	2818
656	12847	2796
657	12853	2773
658	12866	2752
659	12876	2731
660	12884	2709
661	12889	2687
662	12896	2664
663	12901	2642
664	12908	2620
665	12915	2598
666	12927	2577
667	12941	2557
668	12948	2535
669	12958	2514
670	12964	2492
671	12984	2473
672	12991	2451
673	13000	2430
674	13005	2408
675	13012	2386
676	13018	2365
677	13024	2343
678	13032	2322
679	13037	2300
680	13043	2279
681	13049	2257
682	13054	2236
683	13061	2215
684	13067	2193
685	13072	2172
686	13077	2150
687	13082	2129
688	13088	2108
689	13095	2087
690	13102	2066
691	13109	2046
692	13115	2025
693	13121	2004
694	13127	1983
695	13132	1962
696	13138	1941
697	13144	1920
698	13149	1899
699	13154	1879
700	13162	1858
701	13169	1838
702	13175	1817
703	13182	1797
704	13189	1777
705	13196	1756
706	13202	1736
707	13207	1716
708	13213	1695
709	13218	1675
710	13227	1655
711	13232	1635
712	13239	1615
713	13244	1595
714	13248	1575
715	13255	1555
716	13261	1535
717	13267	1515
718	13273	1495
719	13280	1475
720	13285	1455
721	13293	1436
722	13298	1416
723	13305	1396
724	13310	1376
725	13316	1357
726	13322	1337
727	13328	1318
728	13334	1298
729	13341	1279
730	13347	1259
731	13354	1240
732	13360	1221
733	13366	1201
734	13371	1182
735	13377	1163
736	13385	1144
737	13392	1125
738	13399	1106
739	13406	1087
740	13415	1068
741	13421	1049
742	13430	1030
743	13439	1011
744	13448	992
745	13455	974
746	13465	955
747	13471	936
748	13477	917
749	13484	898
750	13492	880
751	13501	861
752	13506	843
753	13512	824
754	13518	805
755	13526	787
756	13533	768
757	13537	750
758	13542	731
759	13547	713
760	13551	694
761	13555	675
762	13558	657
763	13561	639
764	1356765	13765	1356766	13766	1357767	13767	1357768	13768	1358769	13769	13587	529
770	1359771	13771	1359772	13772	1359773	13773	13604	457
774	13609	439
775	13614	421
776	13617	403
777	13622	385
778	13625	367
779	13630	349
780	13635	331
781	13640	313
782	13645	296
783	13649	278
784	13654	260
785	13657	243
786	13661	225
787	13665	208
788	13670	190
789	13674	173
790	13678	155
791	13685	138
792	13690	120
793	13693	103
794	13697	86
795	13700	68
796	13703	51
797	13706	34
798	13708	17
799	13711	0
